instance,m,n,opt,runs_done,ceo_best,ceo_worst,ceo_avg,ceo_std,ceo_pct_feasible,ceo_avg_iters,ceo_avg_evals,ceo_avg_time_s,ceo_rpd_best,baseline_greedy,baseline_rand_repair,sboa_best,sboa_worst,sboa_avg,sboa_std,gwo_best,gwo_worst,gwo_avg,gwo_std,pso_best,pso_worst,pso_avg,pso_std
41,200,1000,429,31,431.0,433.0,432.935,0.353,100.0,301.0,6010.0,6.21,0.466,434.0,434.0,433,433,433.0,0.0,433,438,433.419,1.29,433,437,433.258,0.983
42,200,1000,512,31,514.0,525.0,523.129,2.044,100.0,301.0,6010.0,5.89,0.391,529.0,529.0,525,527,525.968,0.999,525,527,525.935,0.982,525,527,526.29,0.957
51,200,2000,253,31,253.0,269.0,265.129,3.599,100.0,301.0,6010.0,7.97,0.0,269.0,269.0,267,269,267.29,0.52,267,268,267.194,0.395,267,269,267.323,0.59
52,200,2000,302,31,312.0,317.0,314.774,0.974,100.0,301.0,6010.0,8.1,3.311,330.0,330.0,315,322,318.387,1.979,315,323,319.677,2.74,315,323,318.742,2.17
61,200,1000,138,31,141.0,144.0,141.419,0.908,100.0,301.0,6010.0,4.78,2.174,142.0,142.0,141,145,141.935,1.605,141,145,142.968,1.926,141,145,141.839,1.568
62,200,1000,146,31,146.0,153.0,149.806,1.595,100.0,301.0,6010.0,5.07,0.0,156.0,153.0,148,154,149.677,2.277,148,154,150.323,2.085,148,154,149.387,2.058
a1,300,3000,253,31,256.0,257.0,256.806,0.395,100.0,301.0,6010.0,14.67,1.186,261.0,260.0,257,257,257.0,0.0,257,257,257.0,0.0,257,257,257.0,0.0
a2,300,3000,252,31,254.0,263.0,258.161,2.034,100.0,301.0,6010.0,14.61,0.794,270.0,268.0,258,265,260.387,1.58,256,265,260.452,1.997,258,265,261.355,1.976
b1,300,3000,69,31,69.0,71.0,69.226,0.489,100.0,301.0,6010.0,11.66,0.0,73.0,73.0,69,71,69.387,0.79,69,71,69.645,0.9,69,71,69.387,0.79
b2,300,3000,76,31,76.0,76.0,76.0,0.0,100.0,301.0,6010.0,11.91,0.0,78.0,78.0,76,77,76.129,0.335,76,82,76.419,1.185,76,77,76.161,0.368
c1,400,4000,227,31,228.0,233.0,230.452,1.72,100.0,301.0,6010.0,19.1,0.441,237.0,237.0,231,234,233.065,0.504,231,235,232.806,0.858,231,234,232.968,0.647
c2,400,4000,219,31,220.0,224.0,221.548,1.159,100.0,301.0,6010.0,20.33,0.457,224.0,224.0,221,226,222.387,1.559,221,228,222.516,1.949,221,229,222.645,2.088
d1,400,4000,60,31,60.0,63.0,61.032,0.74,100.0,301.0,6010.0,17.15,0.0,68.0,68.0,60,65,61.387,1.006,60,63,61.161,0.919,60,63,61.323,1.028
d2,400,4000,66,31,66.0,69.0,67.097,0.588,100.0,301.0,6010.0,18.41,0.0,71.0,71.0,67,69,67.71,0.727,67,69,67.774,0.791,67,69,67.677,0.69
nre1,500,5000,29,31,29.0,29.0,29.0,0.0,100.0,301.0,6010.0,23.53,0.0,30.0,30.0,29,29,29.0,0.0,29,30,29.032,0.177,29,29,29.0,0.0
nre2,500,5000,30,31,30.0,32.0,31.129,0.707,100.0,301.0,6010.0,24.47,0.0,32.0,32.0,30,32,31.0,0.803,30,33,31.065,0.878,30,32,30.71,0.632
nrf1,500,5000,14,31,14.0,15.0,14.161,0.368,100.0,301.0,6010.0,21.11,0.0,16.0,16.0,14,14,14.0,0.0,14,15,14.032,0.177,14,14,14.0,0.0
nrf2,500,5000,15,31,15.0,15.0,15.0,0.0,100.0,301.0,6010.0,22.39,0.0,16.0,16.0,15,15,15.0,0.0,15,16,15.032,0.177,15,15,15.0,0.0
nrg1,1000,10000,176,31,178.0,182.0,179.516,1.341,100.0,301.0,6010.0,98.37,1.136,189.0,189.0,178,184,180.968,1.492,179,185,181.484,1.72,179,184,181.0,1.666
nrg2,1000,10000,154,31,157.0,162.0,159.0,1.047,100.0,301.0,6010.0,101.58,1.948,161.0,161.0,158,161,159.355,0.598,158,162,159.677,0.929,158,162,159.516,1.043
nrh1,1000,10000,63,31,64.0,67.0,65.097,0.928,100.0,301.0,6010.0,103.98,1.587,69.0,69.0,64,67,65.0,1.016,64,67,65.581,0.943,64,67,65.484,0.875
nrh2,1000,10000,63,31,64.0,68.0,65.129,1.157,100.0,301.0,6010.0,100.81,1.587,73.0,73.0,64,67,65.065,1.014,64,67,65.161,0.954,64,66,65.194,0.895
