instance,m,n,opt,runs_done,ceo_best,ceo_worst,ceo_avg,ceo_std,ceo_pct_feasible,ceo_avg_iters,ceo_avg_evals,ceo_avg_time_s,ceo_rpd_best,baseline_greedy,baseline_rand_repair,sboa_best,sboa_worst,sboa_avg,sboa_std,gwo_best,gwo_worst,gwo_avg,gwo_std,pso_best,pso_worst,pso_avg,pso_std
U41,200,1000,38,31,40.0,44.0,41.968,1.031,100.0,301.0,6010.0,4.97,5.263,41.0,41.0,39,41,39.839,0.627,39,43,40.871,1.07,39,41,39.645,0.598
U51,200,2000,34,31,36.0,40.0,38.097,0.995,100.0,301.0,6010.0,7.56,5.882,37.0,37.0,35,37,35.581,0.555,35,38,36.29,0.681,35,36,35.613,0.487
U61,200,1000,21,31,22.0,24.0,22.871,0.707,100.0,301.0,6010.0,4.92,4.762,23.0,23.0,21,22,21.29,0.454,21,23,21.839,0.514,21,22,21.29,0.454
UA1,300,3000,39,31,42.0,45.0,43.226,0.94,100.0,301.0,6010.0,12.91,7.692,42.0,42.0,39,41,40.323,0.642,40,43,41.387,0.656,40,41,40.452,0.498
UB1,300,3000,22,31,23.0,26.0,24.742,0.841,100.0,301.0,6010.0,12.32,4.545,24.0,24.0,22,24,22.806,0.591,22,24,23.387,0.605,22,23,22.774,0.418
UC1,400,4000,43,31,46.0,52.0,49.129,1.289,100.0,301.0,6010.0,15.89,6.977,47.0,45.0,43,45,44.323,0.532,44,48,46.387,0.79,44,46,44.774,0.551
UD1,400,4000,24,31,27.0,29.0,27.581,0.61,100.0,301.0,6010.0,15.59,12.5,27.0,27.0,25,26,25.226,0.418,25,27,26.194,0.47,25,26,25.065,0.246
UNRE1,500,5000,17,31,17.0,20.0,18.613,0.656,100.0,301.0,6010.0,22.62,0.0,18.0,18.0,17,18,17.516,0.5,17,18,17.774,0.418,17,17,17.0,0.0
UNRF1,500,5000,10,31,10.0,11.0,10.968,0.177,100.0,301.0,6010.0,20.88,0.0,11.0,11.0,10,11,10.903,0.296,10,11,10.774,0.418,10,11,10.29,0.454
UNRG1,1000,10000,61,31,68.0,73.0,70.774,1.384,100.0,301.0,6010.0,100.75,11.475,65.0,65.0,62,63,62.484,0.5,63,68,66.194,0.895,62,64,63.29,0.579
UNRH1,1000,10000,34,31,37.0,40.0,38.226,0.831,100.0,301.0,6010.0,97.06,8.824,36.0,36.0,34,35,34.323,0.467,35,37,35.839,0.514,34,35,34.935,0.246
CLR10,511,210,25,31,25.0,28.0,25.71,1.022,100.0,301.0,6010.0,7.23,0.0,32.0,29.0,25,27,25.097,0.39,25,27,25.387,0.748,25,27,25.29,0.632
CLR11,1023,330,23,31,23.0,28.0,25.387,1.878,100.0,301.0,6010.0,12.15,0.0,30.0,27.0,23,23,23.0,0.0,23,27,24.839,1.919,23,27,23.387,1.183
CLR12,2047,495,23,31,23.0,28.0,25.548,1.643,100.0,301.0,6010.0,24.3,0.0,31.0,28.0,23,28,24.258,1.586,23,29,24.774,2.121,23,26,23.968,1.257
CYC06,240,192,60,31,60.0,64.0,61.452,1.131,100.0,301.0,6010.0,8.38,0.0,60.0,60.0,60,62,61.097,0.817,60,63,61.452,0.978,60,62,61.226,0.831
CYC07,672,448,144,31,147.0,157.0,152.839,2.096,100.0,301.0,6010.0,19.79,2.083,144.0,144.0,147,153,150.871,1.362,147,154,151.903,1.399,144,153,150.484,1.563
CYC08,1792,1024,344,31,363.0,373.0,368.258,2.125,100.0,301.0,6010.0,100.95,5.523,352.0,352.0,357,365,361.129,2.324,358,372,363.419,2.721,358,367,362.258,1.883
